"";"replication_rate";"trust1";"trust2";"trust3";"trust4";"trust5";"value1";"value2";"value3";"value4";"knowledge1";"knowledge2";"gender";"gender_3_TEXT";"age";"english";"english_native";"race";"mean_trust";"mean_value"
"1";20;3;3;4;5;3;2;3;3;1;1;2;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,6;2,25
"2";40;6;5;5;6;4;4;4;4;1;2;NA;2;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;3,25
"3";81;6;6;6;7;7;4;4;4;4;2;NA;1;"Deleted to protect anonymity";40;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;4
"4";100;7;7;7;7;7;5;5;1;5;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4
"5";71;6;6;6;6;6;4;4;4;4;2;NA;1;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;4
"6";40;5;5;5;5;4;3;3;3;2;2;NA;1;"Deleted to protect anonymity";63;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;2,75
"7";50;5;3;5;4;3;3;4;3;2;2;NA;1;"Deleted to protect anonymity";31;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;3
"8";70;4;4;3;5;3;3;4;3;3;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;3,25
"9";85;6;6;6;7;6;4;5;4;3;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4
"10";10;4;4;5;5;4;3;3;2;2;2;NA;1;"Deleted to protect anonymity";46;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;2,5
"11";40;3;3;3;4;3;2;3;3;2;2;NA;2;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,2;2,5
"12";35;7;5;5;5;7;3;4;4;2;2;NA;2;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,25
"13";35;5;6;6;6;7;4;3;3;4;2;NA;1;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;3,5
"14";68;5;6;5;5;4;4;4;4;3;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"15";80;5;5;5;5;5;4;4;3;3;2;NA;1;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,5
"16";70;4;4;4;4;3;3;2;1;1;2;NA;1;"Deleted to protect anonymity";45;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;1,75
"17";70;5;2;5;5;3;2;1;4;2;2;NA;1;"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;2,25
"18";50;4;4;4;5;5;3;3;3;2;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;2,75
"19";20;7;5;5;7;7;4;5;5;4;2;NA;2;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,5
"20";40;7;7;7;7;7;4;5;5;5;2;NA;2;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,75
"21";30;5;5;5;5;4;4;4;4;3;1;2;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,75
"22";60;2;7;6;2;2;5;4;5;5;2;NA;1;"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,8;4,75
"23";70;3;4;4;3;3;3;4;3;2;2;NA;2;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;3
"24";59;4;4;4;4;4;3;3;2;1;2;NA;2;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;2,25
"25";30;1;1;1;1;1;3;3;1;1;2;NA;2;"Deleted to protect anonymity";50;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";1;2
"26";75;7;6;6;7;7;5;5;3;2;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;3,75
"27";60;5;5;6;6;5;5;5;5;3;2;NA;1;"Deleted to protect anonymity";49;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4,5
"28";20;4;4;4;5;5;3;3;3;3;2;NA;1;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3
"29";70;5;4;5;2;4;2;3;4;3;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;3
"30";50;1;7;7;7;7;5;5;5;3;2;NA;1;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;4,5
"31";39;3;3;3;4;4;2;2;1;1;2;NA;1;"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;1,5
"32";75;7;7;7;7;7;5;5;4;1;2;NA;2;"Deleted to protect anonymity";22;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;3,75
"33";18;3;4;4;3;3;3;3;3;2;2;NA;1;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;2,75
"34";70;7;5;5;5;5;4;3;4;3;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;3,5
"35";30;3;3;3;4;3;2;4;3;1;2;NA;1;"Deleted to protect anonymity";46;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,2;2,5
"36";49;4;3;2;7;1;3;3;1;1;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;2
"37";77;7;6;6;7;6;5;5;4;2;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;4
"38";40;4;4;5;4;4;3;4;5;2;2;NA;1;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,2;3,5
"39";82;6;6;6;6;7;4;4;3;4;2;NA;1;"Deleted to protect anonymity";35;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;3,75
"40";20;4;4;1;2;2;4;2;1;4;2;NA;2;"Deleted to protect anonymity";38;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,6;2,75
"41";85;6;6;6;2;6;4;4;4;4;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;4
"42";90;6;6;6;5;6;4;4;3;3;2;NA;2;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,5
"43";77;4;5;5;5;5;4;3;2;2;2;NA;1;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;2,75
"44";40;4;4;4;5;5;3;4;3;2;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,4;3
"45";35;4;4;4;4;4;3;3;4;2;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;3
"46";75;5;5;4;5;5;4;5;1;4;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,8;3,5
"47";70;5;5;5;5;5;4;4;3;4;2;NA;2;"Deleted to protect anonymity";43;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5;3,75
"48";20;7;7;7;7;7;5;5;5;3;2;NA;1;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,5
"49";70;6;6;5;5;6;4;5;4;5;2;NA;2;"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;4,5
"50";71;5;5;5;6;5;4;4;5;4;2;NA;1;"Deleted to protect anonymity";42;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;4,25
"51";33;5;5;5;6;6;4;5;5;5;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,4;4,75
"52";40;7;7;7;7;7;4;4;5;4;2;NA;2;"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";7;4,25
"53";65;6;6;6;6;6;3;3;3;2;2;NA;1;"Deleted to protect anonymity";37;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6;2,75
"54";73;7;4;3;2;1;3;2;4;2;2;NA;2;"Deleted to protect anonymity";41;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";3,4;2,75
"55";75;7;6;6;6;7;4;5;4;5;2;NA;2;"Deleted to protect anonymity";24;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,4;4,5
"56";70;4;5;5;6;6;4;5;4;4;2;NA;2;"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,2;4,25
"57";75;7;7;7;6;6;5;5;3;4;2;NA;2;"Deleted to protect anonymity";28;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,6;4,25
"58";40;5;5;6;6;6;4;5;4;4;2;NA;2;"Deleted to protect anonymity";36;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,6;4,25
"59";50;6;6;6;7;6;4;4;4;5;2;NA;1;"Deleted to protect anonymity";58;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";6,2;4,25
"60";33;5;4;4;4;3;3;4;3;2;1;2;1;"Deleted to protect anonymity";23;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4;3
"61";90;6;6;5;6;6;4;4;4;3;2;NA;2;"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";5,8;3,75
"62";39;5;5;5;4;4;3;4;5;3;2;NA;1;"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";4,6;3,75
"63";34;2;4;2;3;2;2;2;1;1;2;NA;1;"Deleted to protect anonymity";26;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";2,6;1,5
