"";"mc_experiments";"mc_stats";"mc_rpp";"mc_replication";"trust1";"trust2";"trust3";"trust4";"trust5";"value1";"value2";"value3";"value4";"science1";"science2";"science3";"error_int";"error_ext";"error_comm1";"error_comm2";"error_comm3";"error_comm4";"error_impro1";"error_impro2";"error_impro3";"gender";"gender_3_TEXT";"age";"english";"english_native";"race";"CON";"na";"mean_trust";"mean_value";"mean_science";"mean_errorcomm";"mean_errorimpro";"mean_attr"
"1";3;5;3;3;4;3;6;4;5;3;2;3;3;3;3;3;4;2;5;4;3;4;4;3;5;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4,4;2,75;3;4;4;-2
"2";5;6;7;6;3;6;6;3;5;4;4;3;4;3;6;5;6;6;7;5;7;6;5;6;6;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;4,6;3,75;4,66666666666667;6,25;5,66666666666667;0
"3";7;1;7;3;6;6;6;6;6;4;4;3;4;1;1;1;5;5;6;6;6;6;6;6;6;"1";"Deleted to protect anonymity";30;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;6;3,75;1;6;6;0
"4";6;1;7;5;5;5;5;5;5;4;4;3;4;5;5;5;5;5;5;4;5;5;5;5;5;"1";"Deleted to protect anonymity";33;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;5;3,75;5;4,75;5;0
"5";6;1;7;4;6;6;6;7;6;4;5;3;3;1;3;7;6;6;7;6;6;7;7;6;6;"1";"Deleted to protect anonymity";27;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6,2;3,75;3,66666666666667;6,5;6,33333333333333;0
"6";7;1;7;4;5;4;3;4;4;3;3;3;2;1;2;3;4;4;4;4;4;4;5;5;5;"1";"Deleted to protect anonymity";29;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;4;2,75;2;4;5;0
"7";6;1;7;5;7;5;5;7;7;4;5;5;3;3;2;4;5;3;6;6;2;6;7;7;7;"1";"Deleted to protect anonymity";32;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"MEDIUM";FALSE;6,2;4,25;3;5;7;-2
"8";7;1;7;7;7;7;7;7;7;5;5;5;5;1;4;1;5;5;7;7;7;7;6;7;7;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;7;5;2;7;6,66666666666667;0
"9";5;3;5;5;6;6;6;6;6;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;4;"1";"Deleted to protect anonymity";34;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";FALSE;6;3,75;3,66666666666667;4;4;0
"10";6;2;7;2;2;2;2;2;2;2;2;2;2;1;1;1;6;6;6;7;7;7;7;7;7;"1";"Deleted to protect anonymity";25;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";FALSE;2;2;1;6,75;7;0
