"";"mc_experiments";"mc_stats";"mc_rpp";"mc_replicable";"mc_trans";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust"
"2";6;2;6;6;6;6;6;6;6;6;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6
"3";7;1;7;7;5;7;7;7;7;7;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";7
"4";7;1;7;7;7;7;7;7;7;7;2;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";7
"5";6;2;6;3;3;2;3;1;2;2;2;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";2
"6";7;2;7;4;4;7;4;4;3;4;2;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,4
"7";4;5;5;3;4;3;4;4;3;3;2;58;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";3,4
"8";3;4;5;4;5;6;3;5;5;3;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4,4
"9";7;7;7;6;5;6;6;6;6;7;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6,2
"10";6;6;5;7;6;3;4;7;1;3;2;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";3,6
"11";7;1;7;5;5;6;5;5;6;6;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5,6
"12";4;3;6;4;5;5;5;5;6;6;1;44;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5,4
"13";7;4;7;7;5;4;4;4;4;4;2;47;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4
"14";6;7;6;7;7;1;6;7;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";3,4
"15";6;2;7;6;4;6;6;7;3;5;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,4
"16";5;5;6;5;5;2;6;5;3;3;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,8
"17";4;2;6;6;5;6;5;5;5;4;1;19;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5
"18";7;1;7;2;6;3;3;6;6;6;2;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,8
"19";7;1;7;2;6;6;5;6;4;6;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5,4
"20";7;1;1;4;1;1;3;3;1;1;2;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";1,8
"21";7;1;7;4;4;4;4;1;4;7;1;46;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4
"22";7;1;7;3;5;6;5;6;6;5;1;36;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5,6
"23";7;1;7;7;7;7;7;7;7;7;2;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";7
"24";7;1;4;7;4;6;4;3;2;3;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,6
"25";7;1;7;7;1;7;7;4;7;7;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";6,4
"26";6;1;7;4;5;6;6;6;7;7;2;50;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6,4
"27";7;3;7;1;3;3;2;2;3;3;1;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";2,6
"28";6;6;7;3;3;4;4;4;6;6;2;19;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";4,8
"29";7;1;7;7;7;7;7;7;7;7;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";7
"30";6;2;7;6;3;6;5;6;6;6;1;23;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,8
"31";6;5;6;5;6;2;5;6;2;3;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";3,6
"32";7;1;7;3;3;2;2;3;4;3;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";2,8
"33";6;2;7;6;3;5;5;5;5;4;1;51;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";4,8
"34";7;1;7;7;7;6;6;6;6;6;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6
"35";7;6;7;6;7;1;6;7;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,4
"36";4;6;5;4;7;4;6;5;5;4;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,8
"37";5;6;4;5;6;2;4;6;3;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";3,4
"38";7;1;7;4;4;4;4;4;5;6;2;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4,6
"40";5;4;4;5;5;3;5;6;7;6;1;22;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5,4
"41";6;4;6;5;6;2;4;6;4;2;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";3,6
"42";7;1;7;4;5;6;6;6;5;6;1;35;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";5,8
"43";5;3;7;6;5;6;6;6;6;6;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";6
"44";4;4;4;4;4;3;4;5;4;4;2;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";4
"45";7;1;7;7;1;2;2;2;1;1;1;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";1,6
"46";7;1;7;5;3;5;5;6;6;6;2;48;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,6
"47";7;1;7;5;6;7;7;7;6;7;1;36;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWTRANS";6,8
"48";7;1;7;7;4;5;5;5;6;5;1;57;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWNOTRANS";5,2
"49";7;1;7;6;4;6;5;5;6;6;1;48;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"HIGH";5,6
