"";"mc_experiments";"mc_stats";"mc_rpp";"mc_hidden";"mc_qrp";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust"
"2";7;1;7;7;1;7;5;5;7;7;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";6,2
"4";7;1;7;5;4;5;5;5;3;5;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";4,6
"6";7;7;7;3;7;5;7;7;5;5;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";5,8
"7";7;1;7;6;2;5;5;5;6;6;1;24;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5,4
"9";6;2;7;5;4;5;4;4;5;3;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";4,2
"10";7;1;7;5;7;6;6;6;6;6;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";6
"11";7;2;7;NA;NA;6;6;6;6;5;2;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,8
"12";7;1;7;6;2;6;1;6;6;7;1;38;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5,2
"13";7;1;7;4;7;7;7;7;7;7;2;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";7
"14";3;2;7;NA;NA;3;3;2;2;2;2;52;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";2,4
"16";7;6;7;6;7;2;6;6;2;2;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"17";7;1;7;NA;NA;5;4;6;7;7;2;68;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,8
"18";7;1;7;2;7;4;4;4;4;3;2;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,8
"19";7;1;7;7;1;3;3;4;5;5;1;40;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";4
"20";7;1;7;7;2;7;7;7;7;7;1;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";7
"21";5;4;6;5;6;4;3;5;4;2;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";3,6
"22";7;1;6;NA;NA;6;6;5;6;6;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,8
"23";7;1;7;NA;NA;2;2;4;2;4;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";2,8
"24";6;2;7;NA;NA;6;5;6;7;7;2;57;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,2
"25";4;3;5;4;4;6;5;5;6;7;1;40;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5,8
"26";7;1;7;7;1;7;6;6;7;7;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";6,6
"27";7;1;7;NA;NA;4;4;4;4;4;1;40;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4
"29";7;1;7;NA;NA;6;5;6;7;7;2;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,2
"30";7;1;7;NA;NA;7;5;6;6;6;2;42;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6
"31";7;1;7;1;7;6;4;4;3;3;2;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";4
"32";7;1;7;2;7;5;5;5;4;5;1;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWQRP";4,8
"33";7;1;7;4;5;1;7;7;1;1;2;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";3,4
"34";5;1;7;7;1;5;5;5;4;6;2;34;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOWMOD";5
