"";"mc_experiments";"mc_stats";"mc_rpp";"mc_rpp2";"mc_replicable2";"trust1";"trust2";"trust3";"trust4";"trust5";"gender";"age";"na";"gender_3_TEXT";"english";"english_native";"race";"CON";"mean_trust";"mcfailure"
"1";6;6;6;NA;NA;3;5;6;2;2;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6;1
"2";7;1;7;NA;NA;6;4;4;6;4;2;31;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,8;0
"3";7;1;7;NA;NA;5;3;3;6;3;2;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4;0
"4";6;6;6;NA;NA;2;6;7;2;2;2;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,8;1
"5";5;5;5;NA;NA;4;6;5;4;3;2;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,4;1
"6";7;1;7;NA;NA;1;1;1;1;1;1;51;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";1;0
"7";7;1;7;NA;NA;5;6;5;5;5;1;20;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,2;0
"8";6;5;6;NA;NA;2;5;6;3;2;1;21;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6;1
"9";7;1;NA;7;2;3;2;2;2;2;1;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";2,2;0
"10";7;1;NA;7;7;5;5;4;3;5;2;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4,4;0
"11";6;7;7;NA;NA;2;7;7;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,8;1
"12";5;5;5;NA;NA;3;5;6;3;3;2;38;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4;1
"13";6;5;6;NA;NA;2;5;6;3;2;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,6;1
"14";7;1;NA;7;7;6;5;6;6;6;2;42;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,8;0
"15";7;1;NA;7;7;7;5;5;7;7;2;38;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6,2;0
"16";7;1;NA;4;1;4;4;1;4;7;1;46;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";4;1
"17";7;7;7;NA;NA;1;7;6;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,4;1
"18";7;1;7;NA;NA;6;6;6;7;6;1;42;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,2;0
"20";5;6;NA;7;6;3;6;7;2;1;1;21;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,8;1
"22";7;6;NA;6;7;2;7;6;3;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";4;1
"23";7;1;7;NA;NA;5;6;4;6;3;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,8;0
"24";7;1;7;NA;NA;7;7;7;5;3;2;23;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,8;0
"25";7;7;7;NA;NA;7;7;7;4;4;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,8;1
"26";7;1;NA;5;3;6;5;5;5;4;2;22;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5;0
"27";7;1;7;NA;NA;1;2;1;1;1;1;54;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";1,2;0
"28";7;1;7;NA;NA;6;4;6;6;4;2;68;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,2;0
"29";6;2;NA;5;7;6;6;6;6;6;1;53;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";6;0
"30";7;6;NA;5;6;2;6;7;2;1;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,6;1
"31";5;1;6;NA;NA;7;6;5;2;7;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,4;0
"32";7;1;NA;7;2;7;7;7;7;6;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";6,8;0
"33";7;1;NA;7;7;6;4;3;3;4;2;36;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4;0
"34";7;1;6;NA;NA;5;5;4;5;3;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,4;0
"35";7;1;NA;7;4;5;5;5;4;4;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";4,6;0
"36";6;7;NA;6;7;2;7;6;1;2;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,6;1
"37";7;1;NA;7;7;7;5;5;7;5;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5,8;0
"38";6;5;6;NA;NA;2;5;6;3;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,4;1
"39";7;7;NA;7;7;2;6;7;2;1;1;48;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,6;1
"40";6;5;NA;6;5;2;5;5;2;2;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,2;1
"41";7;1;7;NA;NA;4;3;5;4;5;1;39;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";4,2;0
"42";7;1;NA;7;4;6;6;5;5;6;1;44;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5,6;0
"43";5;4;NA;6;4;3;4;4;2;5;1;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,6;1
"44";7;1;NA;2;1;6;2;6;6;6;2;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5,2;1
"45";5;2;5;NA;NA;2;7;5;6;6;1;25;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5,2;0
"46";7;1;NA;7;5;7;5;4;3;6;2;26;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5;0
"47";7;1;NA;7;1;2;2;3;4;2;1;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";2,6;0
"48";7;1;7;NA;NA;6;6;6;7;7;1;37;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,4;0
"50";6;1;NA;6;2;7;5;5;6;5;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5,6;0
"51";5;7;NA;6;4;2;4;7;3;5;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4,2;1
"52";7;1;NA;7;6;3;5;5;3;3;2;20;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,8;0
"53";3;2;NA;5;3;3;2;6;5;5;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4,2;1
"54";6;1;NA;5;4;5;5;5;4;4;2;43;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";4,6;0
"55";7;1;NA;4;3;5;5;5;2;2;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";3,8;1
"56";7;1;7;NA;NA;7;7;7;7;7;1;64;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";7;0
"57";6;6;NA;6;5;3;6;4;2;3;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,6;1
"58";5;4;NA;5;5;2;4;5;4;4;1;27;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,8;1
"59";7;1;NA;7;7;6;5;5;6;7;1;38;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5,8;0
"60";7;2;7;NA;NA;5;5;5;5;5;1;32;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";5;0
"61";7;1;NA;7;7;5;5;5;5;5;1;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";5;0
"63";7;1;NA;7;1;4;4;5;4;4;2;33;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";4,2;0
"64";6;5;NA;5;6;3;6;5;2;3;1;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,8;1
"65";5;4;5;NA;NA;3;4;5;3;4;2;28;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";3,8;1
"66";7;1;NA;7;2;5;5;5;5;5;2;29;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESLOW";5;0
"67";5;4;5;NA;NA;1;1;1;1;1;2;46;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";1;1
"68";7;6;NA;5;6;2;7;6;3;2;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";4;1
"69";7;2;7;NA;NA;6;6;6;7;6;1;21;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";6,2;0
"70";7;1;7;NA;NA;1;1;4;1;1;2;53;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"LOW";1,6;0
"71";7;6;NA;6;7;1;6;7;2;1;1;30;0;"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"Deleted to protect anonymity";"RESHIGH";3,4;1
