replication_4;trust1;trust2;trust3;trust4;trust5;value1;value2;value3;value4;knowledge1;knowledge2;gender;gender_3_TEXT;age;english;english_native;race
20;5;3;4;3;5;2;3;3;1;1;2;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;2;5;5;2;4;4;4;4;1;2;;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
81;2;6;6;1;1;4;4;4;4;2;;1;Deleted to protect anonymity;40;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
100;1;7;7;1;1;5;5;1;5;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
71;2;6;6;2;2;4;4;4;4;2;;1;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;3;5;5;3;4;3;3;3;2;2;;1;Deleted to protect anonymity;63;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
50;3;3;5;4;5;3;4;3;2;2;;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;4;4;3;3;5;3;4;3;3;2;;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
85;2;6;6;1;2;4;5;4;3;2;;2;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
10;4;4;5;3;4;3;3;2;2;2;;1;Deleted to protect anonymity;46;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;5;3;3;4;5;2;3;3;2;2;;2;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
35;1;5;5;3;1;3;4;4;2;2;;2;Deleted to protect anonymity;33;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
35;3;6;6;2;1;4;3;3;4;2;;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
68;3;6;5;3;4;4;4;4;3;2;;1;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
80;3;5;5;3;3;4;4;3;3;2;;1;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;4;4;4;4;5;3;2;1;1;2;;1;Deleted to protect anonymity;45;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;3;2;5;3;5;2;1;4;2;2;;1;Deleted to protect anonymity;23;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
50;4;4;4;3;3;3;3;3;2;2;;1;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;1;5;5;1;1;4;5;5;4;2;;2;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;1;7;7;1;1;4;5;5;5;2;;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
30;3;5;5;3;4;4;4;4;3;1;2;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;6;7;6;6;6;5;4;5;5;2;;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;5;4;4;5;5;3;4;3;2;2;;2;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
59;4;4;4;4;4;3;3;2;1;2;;2;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
30;7;1;1;7;7;3;3;1;1;2;;2;Deleted to protect anonymity;50;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
75;1;6;6;1;1;5;5;3;2;2;;2;Deleted to protect anonymity;24;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
60;3;5;6;2;3;5;5;5;3;2;;1;Deleted to protect anonymity;49;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;4;4;4;3;3;3;3;3;3;2;;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;3;4;5;6;4;2;3;4;3;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
50;7;7;7;1;1;5;5;5;3;2;;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
39;5;3;3;4;4;2;2;1;1;2;;1;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
75;1;7;7;1;1;5;5;4;1;2;;2;Deleted to protect anonymity;22;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
18;5;4;4;5;5;3;3;3;2;2;;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;1;5;5;3;3;4;3;4;3;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
30;5;3;3;4;5;2;4;3;1;2;;1;Deleted to protect anonymity;46;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
49;4;3;2;1;7;3;3;1;1;2;;1;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
77;1;6;6;1;2;5;5;4;2;2;;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;4;4;5;4;4;3;4;5;2;2;;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
82;2;6;6;2;1;4;4;3;4;2;;1;Deleted to protect anonymity;35;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;4;4;1;6;6;4;2;1;4;2;;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
85;2;6;6;6;2;4;4;4;4;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
90;2;6;6;3;2;4;4;3;3;2;;2;Deleted to protect anonymity;41;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
77;4;5;5;3;3;4;3;2;2;2;;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
40;4;4;4;3;3;3;4;3;2;2;;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
35;4;4;4;4;4;3;3;4;2;2;;1;Deleted to protect anonymity;37;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
75;3;5;4;3;3;4;5;1;4;2;;2;Deleted to protect anonymity;29;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
70;3;5;5;3;3;4;4;3;4;2;;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
20;1;7;7;1;1;5;5;5;3;2;;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity
