mc_experiments;mc_stats;mc_surveys;mc_replicable;mc_change;trust1;trust2;trust3;trust4;trust5;gender;gender_3_TEXT;age;english;english_native;race;CON
;;;;;;;;;;;Deleted to protect anonymity;;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;2;6;6;6;2;6;6;2;2;1;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;7;5;1;7;7;1;1;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;7;7;1;7;7;1;1;2;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;2;6;3;3;6;3;1;6;6;2;Deleted to protect anonymity;34;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWNOTRANS
7;2;7;4;4;1;4;4;5;4;2;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWNOTRANS
4;5;5;3;4;5;4;4;5;5;2;Deleted to protect anonymity;58;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWTRANS
3;4;5;4;5;2;3;5;3;5;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;7;7;6;5;2;6;6;2;1;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;6;5;7;6;5;4;7;7;5;2;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
7;1;7;5;5;2;5;5;2;2;1;Deleted to protect anonymity;32;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWTRANS
4;3;6;4;5;3;5;5;2;2;1;Deleted to protect anonymity;44;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOWTRANS
7;4;7;7;5;4;4;4;4;4;2;Deleted to protect anonymity;47;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;7;6;7;7;7;6;7;6;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
6;2;7;6;4;2;6;7;5;3;1;Deleted to protect anonymity;28;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;HIGH
