mc_experiments;mc_stats;Q49;mc_rpp2;mc_replicable2;trust1;trust2;trust3;trust4;trust5;gender;gender_3_TEXT;age;english;english_native;race;CON
6;6;6;NA;NA;5;5;6;6;6;1;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;2;4;4;2;4;2;Deleted to protect anonymity;31;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;3;3;3;2;5;2;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;6;6;NA;NA;6;6;7;6;6;2;Deleted to protect anonymity;27;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;5;5;NA;NA;4;6;5;4;5;2;Deleted to protect anonymity;26;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;7;1;1;7;7;1;Deleted to protect anonymity;51;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;3;6;5;3;3;1;Deleted to protect anonymity;20;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;5;6;NA;NA;6;5;6;5;6;1;Deleted to protect anonymity;21;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;NA;7;2;5;2;2;6;6;1;Deleted to protect anonymity;39;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
7;1;NA;7;7;3;5;4;5;3;2;Deleted to protect anonymity;43;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESHIGH
6;7;7;NA;NA;6;7;7;6;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
5;5;5;NA;NA;5;5;6;5;5;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
6;5;6;NA;NA;6;5;6;5;6;1;Deleted to protect anonymity;25;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;NA;7;7;2;5;6;2;2;2;Deleted to protect anonymity;42;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESHIGH
7;1;NA;7;7;1;5;5;1;1;2;Deleted to protect anonymity;38;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESHIGH
7;1;NA;4;1;4;4;1;4;1;1;Deleted to protect anonymity;46;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;RESLOW
7;7;7;NA;NA;7;7;6;6;7;1;Deleted to protect anonymity;30;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
7;1;7;NA;NA;2;6;6;1;2;1;Deleted to protect anonymity;42;Deleted to protect anonymity;Deleted to protect anonymity;Deleted to protect anonymity;LOW
